#YY;MM;DD;hh;mm;WDI;R WSP;D GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;TIDE
#yr;mo;dy;hr;mn;deg;T m/s;m/s;m;sec;sec;deg;T   hPa;degC;degC;degC;mi;ft
2012;1;9;1;50;336;6.2;7.2;1.81;19.05;8.26;297;1022.8;12.2;12;999;99;99
2012;1;9;2;50;333;4.6;5.3;1.55;12.12;7.76;280;1023.1;12.1;11.8;999;99;99
2012;1;9;3;50;322;4.9;5.9;1.78;11.43;8.66;288;1023.2;12;11.8;999;99;99
2012;1;9;4;50;327;5.4;6.3;1.79;19.05;9.31;267;1023.5;12.1;11.7;999;99;99
2012;1;9;5;50;341;4;4.9;1.74;11.43;8.81;282;1023.5;12;11.7;999;99;99
2012;1;9;6;50;351;3.3;4;1.78;19.05;9.54;285;1023.8;11.8;11.7;999;99;99
2012;1;9;7;50;333;2.5;3.1;1.76;17.39;9.01;277;1023.5;11.9;11.6;999;99;99
2012;1;9;8;50;340;2.6;3.3;1.95;17.39;10.29;296;1023.5;11.9;11.6;999;99;99
2012;1;9;9;50;314;3.5;4.3;1.75;11.43;9.13;300;1023.7;11.7;11.6;999;99;99
2012;1;9;10;50;305;4.6;5.8;1.55;17.39;9.22;277;1023.6;10.3;11.9;999;99;99
2012;1;9;11;50;335;4.1;4.7;1.75;17.39;9.63;283;1023.1;10.1;12;999;99;99
2012;1;9;12;50;2;4;4.8;1.83;17.39;9.79;283;1022.6;11.5;12;999;99;99
2012;1;9;13;50;344;5.7;6.6;1.51;16;9.26;311;1023.3;11.8;12.1;999;99;99
2012;1;9;14;50;1;7.1;8.2;1.76;17.39;10.03;317;1023.3;11.7;12.1;999;99;99
2012;1;9;15;50;353;7.6;8.9;1.94;12.12;9.15;309;1023.4;11.4;12;999;99;99
2012;1;9;16;50;4;6.4;7.6;1.94;17.39;8.54;305;1023.5;11.4;12;999;99;99
2012;1;9;17;50;6;6.3;7.5;1.83;10.81;8.37;304;1023.5;11.4;12;999;99;99
2012;1;9;18;50;20;4.8;5.6;2.08;17.39;9.09;284;1023.6;11.9;12;999;99;99
2012;1;9;19;50;23;3.2;3.9;1.92;19.05;9.06;305;1022.7;12.1;12;999;99;99
2012;1;9;20;50;34;4.2;5.1;2.47;19.05;10.29;307;1022.1;12.2;12.1;999;99;99
2012;1;9;21;50;46;2.1;3;2.53;19.05;10.82;297;1021.9;12.3;12.3;999;99;99
2012;1;9;22;50;15;1;1.9;2.53;17.39;11.27;292;1021.5;12.6;12.5;999;99;99
2012;1;9;23;50;325;2.1;3.2;2.96;17.39;12.62;304;1021.7;12.6;12.6;999;99;99
